size,run,k,d,time,exit status
1000,1,3,12,168.19,0
1000,2,3,12,169.67,0
1000,3,3,12,166.45,0
10000,1,3,12,219.73,0
10000,2,3,12,216.83,0
10000,3,3,12,218.50,0
100000,1,3,12,172.72,0
100000,2,3,12,172.29,0
100000,3,3,12,170.93,0
500000,1,3,12,187.04,0
500000,2,3,12,187.60,0
500000,3,3,12,186.60,0
1000000,1,3,12,200.73,0
1000000,2,3,12,201.88,0
1000000,3,3,12,200.00,0
2000000,1,3,12,197.65,0
2000000,2,3,12,196.83,0
2000000,3,3,12,198.73,0
3000000,1,3,12,267.56,0
3000000,2,3,12,265.02,0
3000000,3,3,12,265.40,0
4000000,1,3,12,275.21,0
4000000,2,3,12,273.12,0
4000000,3,3,12,270.06,0
5000000,1,3,12,337.27,0
5000000,2,3,12,337.34,0
5000000,3,3,12,337.28,0
10000000,1,3,12,1081.65,0
10000000,2,3,12,1087.18,0
10000000,3,3,12,1109.01,0
20000000,1,3,12,2027.02,0
20000000,2,3,12,2066.42,0
20000000,3,3,12,2078.97,0

